"zone_id","datum","uur","max_availability","avg_availability"
51931,2024-08-20,16,1,1
51931,2024-08-20,17,1,1
51931,2024-08-20,18,1,1
51931,2024-08-20,19,1,1
51931,2024-08-20,20,1,1
51931,2024-08-20,21,1,1
51931,2024-08-20,22,1,1
51931,2024-08-20,23,1,1
51931,2024-08-21,0,1,1
51931,2024-08-21,1,1,1
51931,2024-08-21,2,1,1
51931,2024-08-21,3,1,1
51931,2024-08-21,4,1,1
51931,2024-08-21,5,1,1
51931,2024-08-21,6,1,1
51931,2024-08-21,7,1,1
51931,2024-08-21,8,1,1
51931,2024-08-21,9,1,1
51931,2024-08-21,10,1,1
51931,2024-08-21,11,1,1
51931,2024-08-21,12,1,1
51931,2024-08-21,13,1,1
51931,2024-08-21,14,1,1
51931,2024-08-21,15,1,1
51931,2024-08-21,16,1,1
51931,2024-08-21,17,1,1
51931,2024-08-21,18,1,1
51931,2024-08-21,19,1,1
51931,2024-08-21,20,1,1
51931,2024-08-21,21,1,1
51931,2024-08-21,22,1,1
51931,2024-08-21,23,1,1
51931,2024-08-22,0,1,1
51931,2024-08-22,1,1,1
51931,2024-08-22,2,1,1
51931,2024-08-22,3,1,1
51931,2024-08-22,4,1,1
51931,2024-08-22,5,1,1
51931,2024-08-22,6,1,1
51931,2024-08-22,7,1,1
51931,2024-08-22,8,1,1
51937,2024-08-05,0,35,35
51937,2024-08-05,1,35,35
51937,2024-08-05,2,35,35
51937,2024-08-05,3,35,35
51937,2024-08-05,4,35,35
51937,2024-08-05,5,35,35
51937,2024-08-05,6,35,35
51937,2024-08-05,7,35,35
51937,2024-08-05,8,35,35
51937,2024-08-05,9,36,36
51937,2024-08-05,10,36,36
51937,2024-08-05,11,36,36
51937,2024-08-05,12,36,36
51937,2024-08-05,13,35,35
51937,2024-08-05,14,35,35
51937,2024-08-05,15,35,35
51937,2024-08-05,16,35,35
51937,2024-08-05,17,34,34
51937,2024-08-05,18,33,33
51937,2024-08-05,19,32,32
51937,2024-08-05,20,32,32
51937,2024-08-05,21,33,33
51937,2024-08-05,22,33,33
51937,2024-08-05,23,33,33
51937,2024-08-06,0,33,33
51937,2024-08-06,1,33,33
51937,2024-08-06,2,33,33
51937,2024-08-06,3,33,33
51937,2024-08-06,4,34,34
51937,2024-08-06,5,34,34
51937,2024-08-06,6,34,34
51937,2024-08-06,7,34,34
51937,2024-08-06,8,34,34
51937,2024-08-06,9,34,34
51937,2024-08-06,10,35,35
51937,2024-08-06,11,35,35
51937,2024-08-06,12,35,35
51937,2024-08-06,13,35,35
51937,2024-08-06,14,35,35
51937,2024-08-06,15,35,35
51937,2024-08-06,16,34,34
51937,2024-08-06,17,34,34
51937,2024-08-06,18,34,34
51937,2024-08-06,19,34,34
51937,2024-08-06,20,34,34
51937,2024-08-06,21,34,34
51937,2024-08-06,22,34,34
51937,2024-08-06,23,34,34
51937,2024-08-07,0,34,34
51937,2024-08-07,1,34,34
51937,2024-08-07,2,34,34
51937,2024-08-07,3,34,34
51937,2024-08-07,4,34,34
51937,2024-08-07,5,34,34
51937,2024-08-07,6,34,34
51937,2024-08-07,7,34,34
51937,2024-08-07,8,35,35
51937,2024-08-07,9,35,35
51937,2024-08-07,10,35,35
51937,2024-08-07,11,35,35
51937,2024-08-07,12,33,33
51937,2024-08-07,13,33,33
51937,2024-08-07,14,33,33
51937,2024-08-07,15,33,33
51937,2024-08-07,16,33,33
51937,2024-08-07,17,33,33
51937,2024-08-07,18,33,33
51937,2024-08-07,19,33,33
51937,2024-08-07,20,33,33
51937,2024-08-07,21,34,34
51937,2024-08-07,22,33,33
51937,2024-08-07,23,33,33
51937,2024-08-08,0,33,33
51937,2024-08-08,1,33,33
51937,2024-08-08,2,33,33
51937,2024-08-08,3,32,32
51937,2024-08-08,4,32,32
51937,2024-08-08,5,32,32
51937,2024-08-08,6,32,32
51937,2024-08-08,7,33,33
51937,2024-08-08,8,33,33
51937,2024-08-08,9,34,34
51937,2024-08-08,10,34,34
51937,2024-08-08,11,33,33
51937,2024-08-08,12,33,33
51937,2024-08-08,13,33,33
51937,2024-08-08,14,33,33
51937,2024-08-08,15,33,33
51937,2024-08-08,16,33,33
51937,2024-08-08,17,33,33
51937,2024-08-08,18,33,33
51937,2024-08-08,19,32,32
51937,2024-08-08,20,32,32
51937,2024-08-08,21,31,31
51937,2024-08-08,22,32,32
51937,2024-08-08,23,33,33
51937,2024-08-09,0,33,33
51937,2024-08-09,1,33,33
51937,2024-08-09,2,33,33
51937,2024-08-09,3,33,33
51937,2024-08-09,4,34,34
51937,2024-08-09,5,34,34
51937,2024-08-09,6,34,34
51937,2024-08-09,7,34,34
51937,2024-08-09,8,36,36
51937,2024-08-09,9,36,36
51937,2024-08-09,10,35,35
51937,2024-08-09,11,34,34
51937,2024-08-09,12,34,34
51937,2024-08-09,13,35,35
51937,2024-08-09,14,34,34
51937,2024-08-09,15,34,34
51937,2024-08-09,16,35,35
51937,2024-08-09,17,35,35
51937,2024-08-09,18,34,34
51937,2024-08-09,19,34,34
51937,2024-08-09,20,34,34
51937,2024-08-09,21,34,34
51937,2024-08-09,22,35,35
51937,2024-08-09,23,35,35
51937,2024-08-10,0,35,35
51937,2024-08-10,1,35,35
51937,2024-08-10,2,35,35
51937,2024-08-10,3,35,35
51937,2024-08-10,4,35,35
51937,2024-08-10,5,35,35
51937,2024-08-10,6,34,34
51937,2024-08-10,7,35,35
51937,2024-08-10,8,35,35
51937,2024-08-10,9,36,36
51937,2024-08-10,10,36,36
51937,2024-08-10,11,40,40
51937,2024-08-10,12,35,35
51937,2024-08-10,13,35,35
51937,2024-08-10,14,36,36
51937,2024-08-10,15,35,35
51937,2024-08-10,16,34,34
51937,2024-08-10,17,35,35
51937,2024-08-10,18,35,35
51937,2024-08-10,19,34,34
51937,2024-08-10,20,34,34
51937,2024-08-10,21,34,34
51937,2024-08-10,22,33,33
51937,2024-08-10,23,33,33
51937,2024-08-11,0,33,33
51937,2024-08-11,1,33,33
51937,2024-08-11,2,32,32
51937,2024-08-11,3,32,32
51937,2024-08-11,4,32,32
51937,2024-08-11,5,32,32
51937,2024-08-11,6,31,31
51937,2024-08-11,7,31,31
51937,2024-08-11,8,32,32
51937,2024-08-11,9,31,31
51937,2024-08-11,10,32,32
51937,2024-08-11,11,32,32
51937,2024-08-11,12,32,32
51937,2024-08-11,13,32,32
51937,2024-08-11,14,31,31
51937,2024-08-11,15,32,32
51937,2024-08-11,16,31,31
51937,2024-08-11,17,31,31
51937,2024-08-11,18,31,31
51937,2024-08-11,19,31,31
51937,2024-08-11,20,31,31
51937,2024-08-11,21,30,30
51937,2024-08-11,22,30,30
51937,2024-08-11,23,30,30
51937,2024-08-12,0,30,30
51937,2024-08-12,1,30,30
51937,2024-08-12,2,30,30
51937,2024-08-12,3,30,30
51937,2024-08-12,4,30,30
51937,2024-08-12,5,30,30
51937,2024-08-12,6,30,30
51937,2024-08-12,7,31,31
51937,2024-08-12,8,30,30
51937,2024-08-12,9,31,31
51937,2024-08-12,10,31,31
51937,2024-08-12,11,32,32
51937,2024-08-12,12,32,32
51937,2024-08-12,13,31,31
51937,2024-08-12,14,33,33
51937,2024-08-12,15,32,32
51937,2024-08-12,16,31,31
51937,2024-08-12,17,31,31
51937,2024-08-12,18,32,32
51937,2024-08-12,19,31,31
51937,2024-08-12,20,31,31
51937,2024-08-12,21,31,31
51937,2024-08-12,22,31,31
51937,2024-08-12,23,32,32
51937,2024-08-13,0,32,32
51937,2024-08-13,1,32,32
51937,2024-08-13,2,32,32
51937,2024-08-13,3,32,32
51937,2024-08-13,4,32,32
51937,2024-08-13,5,32,32
51937,2024-08-13,6,32,32
51937,2024-08-13,7,31,31
51937,2024-08-13,8,30,30
51937,2024-08-13,9,29,29
51937,2024-08-13,10,30,30
51937,2024-08-13,11,30,30
51937,2024-08-13,12,29,29
51937,2024-08-13,13,29,29
51937,2024-08-13,14,28,28
51937,2024-08-13,15,28,28
51937,2024-08-13,16,28,28
51937,2024-08-13,17,28,28
