name,WKT
BH Metrostation Gerdesiaweg,"POLYGON((4.506149937 51.925404436, 4.50619017 51.925476389, 4.506159325 51.925483832, 4.506121774 51.925408571, 4.506149937 51.925404436))"
BH Oostzeedijk Beneden,"POLYGON((4.503037307 51.922541952, 4.503163371 51.922504732, 4.503153983 51.922486536, 4.503022555 51.922523756, 4.503037307 51.922541952))"
BH Metrostation Binnenhof,"POLYGON((4.535301887 51.96041762, 4.535452091 51.960444065, 4.535448068 51.960458114, 4.535293841 51.960431669, 4.535301887 51.96041762))"
BH Delftseplein ,"POLYGON((4.47398555 51.925282189, 4.473957387 51.925278054, 4.47403383 51.925129185, 4.474066016 51.925136629, 4.473994937 51.925283843, 4.47398555 51.925282189))"
BH Blijdorplaan ,"POLYGON((4.440698537 51.927299973, 4.440717312 51.927322302, 4.440175506 51.927478606, 4.440158072 51.927457931, 4.440698537 51.927299973))"
BH Schiedamseweg Beneden,"POLYGON((4.422263836 51.914128942, 4.422328209 51.914125633, 4.422330891 51.914140524, 4.422263836 51.91414466, 4.422263836 51.914128942))"
BH Winkelcentrum Keizerswaard-Herenw,"POLYGON((4.54932616 51.886511941, 4.549280563 51.886513596, 4.549284586 51.886203186, 4.549335548 51.886203186, 4.54932616 51.886511941))"
BH Schuttersveld,"POLYGON((4.491070116 51.933245961, 4.491066093 51.933226115, 4.490887726 51.933250095, 4.490894432 51.933269941, 4.491070116 51.933245961))"
BH Siondwarsstraat,"POLYGON((4.510598795 51.925245367, 4.510487484 51.925295817, 4.510464685 51.925276795, 4.510578679 51.925227172, 4.510598795 51.925245367))"
BH Oostzeedijk Beneden 2,"POLYGON((4.506961305 51.921663388, 4.507095246 51.921633582, 4.507100769 51.921643801, 4.506965448 51.921673607, 4.506961305 51.921663388))"
BH Infirmeriestraat,"POLYGON((4.502267898 51.922291995, 4.50223303 51.922225827, 4.502263875 51.92221921, 4.502298752 51.922287038, 4.502267898 51.922291995))"
BH Metro Oostplein 2,"POLYGON((4.496861076 51.923086586, 4.496885216 51.92309403, 4.496777928 51.923204859, 4.49675647 51.923198242, 4.496861076 51.923086586))"
BH Dirk van der Kooijweg (Waterleliesingel),"POLYGON((4.52006752 51.953764316, 4.520137258 51.95381804, 4.520114459 51.953829611, 4.520046062 51.953775061, 4.52006752 51.953764316))"
BH Metrostation Schenkel,"POLYGON((4.564175209 51.931796897, 4.564184596 51.931780358, 4.56395795 51.931743974, 4.563951244 51.931759685, 4.564175209 51.931796897))"
BH Jacob van Campenweg ,"POLYGON((4.538013763 51.942400682, 4.537984259 51.942476741, 4.537938661 51.942470127, 4.537968165 51.942391588, 4.538013763 51.942400682))"
BH Metrostation Graskruid ,"POLYGON((4.550044431 51.956441924, 4.550005539 51.956436965, 4.549976035 51.956506389, 4.550017609 51.956510521, 4.550044431 51.956441924))"
BH Burgemeester Le Fèvre de Montignylaan,"POLYGON((4.501658808 51.957638237, 4.501751345 51.95759113, 4.501764756 51.957603526, 4.501672219 51.957648981, 4.501658808 51.957638237))"
BH Piet van der Polsingel,"POLYGON((4.518672327 51.950619198, 4.518561015 51.95060184, 4.518552969 51.950618371, 4.518665622 51.950635729, 4.518672327 51.950619198))"
BH Meerum Terwogtlaan,"POLYGON((4.524632984 51.951779504, 4.524641031 51.951762972, 4.52454313 51.951747268, 4.524533742 51.951764626, 4.524632984 51.951779504))"
BH Prins Alexanderlaan (metrobaan zijde),"POLYGON((4.551475855 51.952159676, 4.551436963 51.952231585, 4.551395388 51.952226626, 4.551431598 51.952153063, 4.551475855 51.952159676))"
BH Prins Alexanderplein,"POLYGON((4.553558763 51.951016768, 4.553820261 51.951033556, 4.553812997 51.951063776, 4.553549683 51.951046987, 4.553558763 51.951016768))"
BH Kleine Beer,"POLYGON((4.55502359 51.950924858, 4.555043707 51.950875264, 4.555078576 51.950880223, 4.555057118 51.950928991, 4.55502359 51.950924858))"
BH Mia van Yperenplein ,"POLYGON((4.545607635 51.928413719, 4.545739063 51.928434393, 4.545748451 51.9284162, 4.545614341 51.928394698, 4.545607635 51.928413719))"
BH Paulus Potterstraat,"POLYGON((4.50843064 51.922868281, 4.508580844 51.922838505, 4.508567433 51.92281452, 4.508414547 51.922845122, 4.50843064 51.922868281))"
Trompenburg 1,"POLYGON((4.51838131 51.917715853, 4.518207391 51.917508893, 4.517581983 51.917776533, 4.517701443 51.917826376, 4.51782793 51.917863217, 4.517935092 51.917878387, 4.518015903 51.917883805, 4.518059822 51.917878387, 4.51802293 51.917814457, 4.518239012 51.917766781, 4.51838131 51.917715853))"
Trompenburg 2,"POLYGON((4.518767798 51.917633503, 4.518801177 51.917695266, 4.519011988 51.917640004, 4.518976853 51.917581492, 4.518767798 51.917633503))"
Breeweg no-park,"POLYGON((4.51188205 51.890129468, 4.511849863 51.890467164, 4.512665255 51.891645773, 4.513148053 51.89178482, 4.514113648 51.891811305, 4.515100701 51.891612666, 4.517053349 51.891023365, 4.517106993 51.890659187, 4.516463263 51.889626228, 4.513941987 51.889507039, 4.51188205 51.890129468))"
